telescope,filter,t_exp_seconds,run_dir,sky_electrons_per_second_per_pixel,noise_sigma_image_units,n_total,n_success,n_failed,success_percent,n_near_true,near_true_percent,redchi_success_mean,redchi_success_sem,redchi_near_true_mean,redchi_near_true_sem,recovery_success_mean_percent,recovery_success_sem_percent,recovery_near_true_mean_percent,recovery_near_true_sem_percent
DOT,V,10.0,result_telescope_rerun_20260924/DOT/V/t_exp_10s,1.23872,0.351954542519343,50,49,1,98.0,5,10.0,2.510565848387923,0.4593478040003619,0.0626944824192824,0.02276544414000095,40.42555422868512,7.979336068385544,97.44828896368986,1.2049065830749917
DOT,V,31.622776601683793,result_telescope_rerun_20260924/DOT/V/t_exp_31p62s,1.23872,0.1979185838470904,50,48,2,96.0,11,22.0,1.890244545789108,0.4263074541821834,0.06259945840985504,0.024699593914074853,45.337659756952114,12.698106508708248,96.91271866043348,0.9347916698707656
DOT,V,100.0,result_telescope_rerun_20260924/DOT/V/t_exp_100s,1.23872,0.11129779872037002,50,49,1,98.0,8,16.0,2.2624365889529234,0.5522052386333276,0.017379364587437992,0.010103377471115981,35.18810649371177,12.569288416527074,96.88497843150867,0.6002014636040567
DOT,V,316.22776601683796,result_telescope_rerun_20260924/DOT/V/t_exp_316p2s,1.23872,0.06258735162318162,50,48,2,96.0,9,18.0,1.9682485428124392,0.5433292790530468,0.5343166351703954,0.49906654620754526,33.193710356991964,11.838088835970789,97.28412498916774,0.5724932575544467
DOT,V,1000.0,result_telescope_rerun_20260924/DOT/V/t_exp_1000s,1.23872,0.0351954542519343,50,48,2,96.0,10,20.0,2.13321270613041,0.5909224656228009,0.7717614718881047,0.46735184985501516,25.867241054981378,17.604607292399486,97.38580067435952,0.6554822705127391
