telescope,filter,t_exp_seconds,run_dir,sky_electrons_per_second_per_pixel,noise_sigma_image_units,n_total,n_success,n_failed,success_percent,n_near_true,near_true_percent,redchi_success_mean,redchi_success_sem,redchi_near_true_mean,redchi_near_true_sem,recovery_success_mean_percent,recovery_success_sem_percent,recovery_near_true_mean_percent,recovery_near_true_sem_percent
KECK,V,10.0,result_telescope_rerun_20260924/KECK/V/t_exp_10s,6.1742,0.7857607778452677,50,48,2,96.0,5,10.0,1.5686047029979964,0.33161970102161625,0.3547512919080652,0.1431784021024137,24.343958945228053,17.41414172665465,97.40796080365672,1.0313640014364962
KECK,V,31.622776601683793,result_telescope_rerun_20260924/KECK/V/t_exp_31p62s,6.1742,0.44186575709610726,50,49,1,98.0,8,16.0,1.8766844322515615,0.39298193190563896,0.2639282657342269,0.08920057602360638,43.33941134309505,8.215782793546685,96.27268727116109,0.6636386112693896
KECK,V,100.0,result_telescope_rerun_20260924/KECK/V/t_exp_100s,6.1742,0.24847937540166185,50,50,0,100.0,8,16.0,1.8534319259731384,0.37227522424922915,0.3782908746897546,0.2024385920283231,23.85910036950124,14.513682282274546,97.15108513224462,0.7793206273006766
KECK,V,316.22776601683796,result_telescope_rerun_20260924/KECK/V/t_exp_316p2s,6.1742,0.13973022124584075,50,50,0,100.0,9,18.0,1.9101146541478018,0.409635900198992,0.13258577738856292,0.07515915937828538,34.02239649339901,9.138551751958982,97.22540076335983,0.7150449724789546
KECK,V,1000.0,result_telescope_rerun_20260924/KECK/V/t_exp_1000s,6.1742,0.07857607778452676,50,49,1,98.0,8,16.0,2.0857752118472295,0.46889216476831413,0.14305066852949702,0.08776572266958463,39.56484124616201,10.102613491560849,96.39484393548082,1.0074846466906906
