sample_id,object,source_fits,psf_fwhm_arcsec,psf_status,noise_sigma_electrons,equal_redchi,free_redchi,single_redchi,delta_bic_equal_minus_free,delta_bic_single_minus_free,equal_separation_arcsec,string_angle_image_deg,equal_amplitude_electrons,equal_peak_snr,fit_adequate,edge_solution,n_valid,best_start,equal_distinct_minima,free_distinct_minima,galaxy_redchi,galaxy_delta_bic_pair_minus_galaxy
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,targets_photometry/HST_23072024_A2213–2652/HST/hst_17308_b6_acs_wfc_f814w_jf56b6/hst_17308_b6_acs_wfc_f814w_jf56b6_drc.fits,0.08757169123144255,measured,10.308366598472986,162.95590054424892,151.13859620281013,186.6735042442636,33491.62412271608,100780.15412259201,0.06434526987336445,88.14587859902387,96566.96446588321,9367.824043063041,False,False,2828,11,14,14,,
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,targets_photometry/PS1_cutouts_J0245-0556/J0245-0556_i_240px.fits,1.301816470845279,measured,139.57744088643878,9.206485142629045,9.090671926771718,76.09436995002488,64.64336005502719,35922.37944882534,1.751616263058153,36.53794799996612,8075.720420420935,57.858349953495704,False,False,540,1,1,1,,
DESJ0245_0556_J0245-0556_r_240px_hdu0,DESJ0245–0556,targets_photometry/PS1_cutouts_J0245-0556/J0245-0556_r_240px.fits,1.2,assumed,108.914943197934,3.2292855075710687,3.1298953716860134,26.043058382999117,49.91265879474713,12271.970352760207,1.7396346733698669,36.61272547313985,4116.709926674336,37.79747577146444,False,False,540,14,1,1,,
J0116_4052_rings.v3.skycell.2161.028.stk.g.unconv_hdu1,J0116+4052,targets_photometry/PS1_11102010_J0116+4052/rings.v3.skycell.2161.028.stk.g.unconv.fits,1.2,assumed,0.46533894935938813,0.4644663192837527,0.4617443060533067,0.6538472650730012,-4.376269768446775,85.47771153404125,1.5526163396236046,116.93779070419657,6.535321618273262,14.044217934626264,True,False,540,14,2,1,,
J0116_4052_rings.v3.skycell.2161.028.stk.i.unconv_hdu1,J0116+4052,targets_photometry/PS1_11102010_J0116+4052/rings.v3.skycell.2161.028.stk.i.unconv.fits,1.2,assumed,0.4416601175354022,0.5422622715225492,0.5400316395372854,0.7405450665555473,-4.56038001989009,90.2205843817253,1.5603370384314479,115.18676795746458,6.545302209271078,14.819771922798589,True,False,540,2,2,1,,
J0116_4052_rings.v3.skycell.2161.028.stk.r.unconv_hdu1,J0116+4052,targets_photometry/PS1_11102010_J0116+4052/rings.v3.skycell.2161.028.stk.r.unconv.fits,1.2,assumed,0.45563264264585446,0.43503782849021144,0.4327536945983281,0.6195605555046041,-4.6390879466942465,82.55203111088395,1.5743185292423436,115.75312627260604,6.374188628242096,13.989754094937629,True,False,540,13,2,1,,
J0116_4052_rings.v3.skycell.2161.028.stk.y.unconv_hdu1,J0116+4052,targets_photometry/PS1_11102010_J0116+4052/rings.v3.skycell.2161.028.stk.y.unconv.fits,1.2,assumed,0.49145766567161947,0.38436386997263683,0.3776791837534319,0.4431997565272538,-2.3442675147494754,17.377357139353848,1.3012272502236146,114.61660448679449,3.2645626012011193,6.642612027914574,True,False,540,5,3,1,,
J0116_4052_rings.v3.skycell.2161.028.stk.z.unconv_hdu1,J0116+4052,targets_photometry/PS1_11102010_J0116+4052/rings.v3.skycell.2161.028.stk.z.unconv.fits,1.2,assumed,0.5309281438685642,0.3384658393803059,0.33569070706682447,0.46512985987605504,-4.473957777092409,51.511750608273104,1.4654517094538357,112.52183859817521,4.926361581574344,9.278772727470832,True,False,540,2,2,1,,
J0127_1441_jf5622010_drc_hdu1,J0127–1441,targets_photometry/HST_30102025_J0127–1441/jf5622010_drc.fits,0.10384078519806969,measured,9.65829990001044,9.68970452014917,8.62358565395777,11.77242179310107,3009.263701019074,8894.342038821505,0.06411509874978405,124.39160859914446,10886.990006068292,1127.215981982142,False,False,2828,6,11,6,,
J0146_1133_jf5628010_drc_hdu1,J0146–1133,targets_photometry/HST_26102023_J0146–1133/HST/jf5628010/jf5628010_drc.fits,0.09876029708967544,measured,9.439516836791878,145.83577540198104,144.8505266239069,237.6030739754363,2917.275253322092,262343.90332550975,1.6788166181256097,15.531997897504198,64298.37912389605,6811.617610901847,False,False,2828,1,14,13,73.49502023949792,201556.07429126767
J0325-2232_J0325-2232_i_240px_hdu0,J0325-2232,targets_photometry/PS1_cutouts_J0325-2232/J0325-2232_i_240px.fits,1.2,assumed,268.059592370194,2.1367882941781646,1.784326372961599,8.696649416194747,183.70742316304916,3691.4834228731775,0.9303026418378529,32.21047077965827,10106.98085238185,37.70423122342128,True,False,540,4,2,1,,
J0325-2232_J0325-2232_r_240px_hdu0,J0325-2232,targets_photometry/PS1_cutouts_J0325-2232/J0325-2232_r_240px.fits,1.2,assumed,124.76790641046667,1.740175421220117,1.5058065068774003,11.106917137063219,120.36723762632982,5131.838009881556,1.012276781698221,34.090436304511286,5080.565566017315,40.72013158017622,True,False,540,14,1,1,,
J0749_2255_hst_skycell-p1791x05y15_wfc3_uvis_f475w_all_drc_hdu1,J0749+2255,targets_photometry/HST_01052020_J0749+2255/hst_skycell-p1791x05y15_wfc3_uvis_f475w_all_drc.fits,0.1,assumed,6.7258226099114,11.024749360441456,5.439661796236444,11.70760144914936,15758.609442955765,17693.138590133734,0.0474584932389375,31.75510764999052,6054.139473906163,900.1336825304579,False,False,2828,2,4,8,,
J0749_2255_ie3b28010_drc_hdu1,J0749+2255,targets_photometry/HST_01052020_J0749+2255/ie3b28010_drc.fits,0.1,assumed,6.64157838846743,11.050250882520082,5.3600156483950965,11.62914640001853,16055.25652132209,17696.26331444871,0.04539005396632802,75.17784328963695,5923.132981863533,891.8261044917546,False,False,2828,12,6,7,,
J0907_0003_J0907_0003_i_240px_hdu0,J0907+0003,targets_photometry/PS1_cutouts_J0907+0003/J0907+0003_i_240px.fits,1.2,assumed,158.7278916945819,1.5148548325061895,1.499365729645728,8.92273576166917,3.4789775175739805,3964.549726934827,0.9959695467922494,166.66105073371546,5711.284848376432,35.981608445766206,True,False,540,6,1,1,,
J0907_0003_J0907_0003_r_240px_hdu0,J0907+0003,targets_photometry/PS1_cutouts_J0907+0003/J0907+0003_r_240px.fits,1.2,assumed,74.4223529077862,1.162389122693851,1.1604169915117144,5.56669695831761,-4.0780340967857,2346.3726057638196,0.9983467588077807,163.69489540547005,2152.3663410673685,28.920966040058964,True,False,540,2,1,1,,
J0907_6224_J0907_6224_i_240px_hdu0,J0907+6224,targets_photometry/PS1_cutouts_J0907+6224/J0907+6224_i_240px.fits,1.0928867440770929,measured,244.57124816288862,11.892615364092853,11.519354518796556,82.71048693784893,204.54907676746097,38174.130332749795,2.048316684947981,130.51245659531665,17303.804341660933,70.75158863373957,False,False,540,5,3,1,,
J0907_6224_J0907_6224_r_240px_hdu0,J0907+6224,targets_photometry/PS1_cutouts_J0907+6224/J0907+6224_r_240px.fits,1.2,assumed,148.5501467157281,4.259782723005923,3.7362843396664593,27.309216043925293,276.99285190338173,12627.425539083059,2.0865770122394505,130.2398460147271,5777.391135762476,38.891857487144314,False,False,540,14,3,5,,
J0937_5835_J0937_5835_i_240px_hdu0,J0937+5835,targets_photometry/PS1_cutouts_J0937+5835/J0937+5835_i_240px.fits,1.1674013381625328,measured,257.8228345502658,1.633667304665271,1.582839504093838,6.619058469906307,22.43331586968077,2685.28717676909,1.3132200799599876,161.9969446837061,5039.015139565688,19.544487393273418,True,False,540,8,1,1,,
J0937_5835_J0937_5835_r_240px_hdu0,J0937+5835,targets_photometry/PS1_cutouts_J0937+5835/J0937+5835_r_240px.fits,1.3704692519541997,measured,112.8293557158547,1.2555091305065136,1.1072102079114847,3.4813083873930384,74.00726573409861,1256.9635474071722,1.3729806173735248,161.64985298890528,1542.4889053240538,13.670989216747822,True,False,540,5,1,1,,
J1515_3137_J1515_3137_i_240px_hdu0,J1515+3137,targets_photometry/PS1_cutouts_J1515+3137/J1515+3137_i_240px.fits,1.1716363653403747,measured,204.26807469357132,2.5410217825892008,1.9923593341534969,15.365023293046809,288.6865376592609,7154.850252550601,1.3268755424101735,23.59463840038441,6929.46699321215,33.92339700468246,True,False,540,12,2,4,,
